station,epoch,unit,component,group,weight,weighted_loss_n,weighted_loss_mean,weighted_loss_median,weighted_loss_min,weighted_loss_max,weighted_grad_norm_n,weighted_grad_norm_mean,weighted_grad_norm_median,weighted_grad_norm_min,weighted_grad_norm_max,weighted_ratio_base_n,weighted_ratio_base_mean,weighted_ratio_base_median,weighted_ratio_base_min,weighted_ratio_base_max,weighted_ratio_dual_base_n,weighted_ratio_dual_base_mean,weighted_ratio_dual_base_median,weighted_ratio_dual_base_min,weighted_ratio_dual_base_max
Battery,50,batch,amp_true,excess,0.0007,16,2.2234481508348832e-06,1.8071903148666024e-06,3.846007748506963e-07,6.465498916804791e-06,16,2.7790067493281387e-05,2.1721466440033256e-05,2.7055358657055083e-06,9.365461127243441e-05,16,0.04677863028065656,0.04972631269506709,0.0032218967397702474,0.10050766432854738,16,0.013193721540629755,0.012967244021069042,0.0010538908919885597,0.024694617156563695
Battery,50,batch,amp_true,excess,0.001,16,3.1763545011926905e-06,2.581700449809432e-06,5.494296783581377e-07,9.236427024006844e-06,16,3.970009641897341e-05,3.1030666342904654e-05,3.865051236722154e-06,0.00013379230181776345,16,0.06682661468665224,0.07103758956438155,0.00460270962824321,0.14358237761221054,16,0.01884817362947108,0.018524634315812916,0.0015055584171265138,0.035278024509376706
Battery,50,batch,amp_true,excess,0.003,16,9.529063503578074e-06,7.745101349428297e-06,1.6482890350744128e-06,2.7709281072020532e-05,16,0.00011910028925692024,9.309199902871396e-05,1.1595153710166464e-05,0.00040137690545329036,16,0.2004798440599567,0.21311276869314466,0.013808128884729631,0.43074713283663163,16,0.05654452088841324,0.05557390294743875,0.004516675251379542,0.10583407352813012
Battery,50,batch,amp_true,full,0.0001,16,3.176354501192691e-07,2.5817004498094323e-07,5.494296783581376e-08,9.236427024006844e-07,16,9.605151367757789e-06,8.379344919856947e-06,2.9302263079533857e-06,2.3481583339231978e-05,16,0.0003720645559005713,0.0003344185598231662,0.0001397589876963891,0.000831847180482598,16,0.0001751514738156468,0.0001564535945004879,4.7705299951317654e-05,0.00037851663315141066
Battery,50,batch,amp_true,full,0.0003,16,9.52906350357807e-07,7.745101349428295e-07,1.6482890350744126e-07,2.770928107202053e-06,16,2.881545410327336e-05,2.5138034759570834e-05,8.790678923860155e-06,7.044475001769592e-05,16,0.0011161936677017137,0.0010032556794694987,0.0004192769630891673,0.0024955415414477933,16,0.0005254544214469403,0.0004693607835014636,0.00014311589985395294,0.0011355498994542318
Battery,50,batch,amp_true,full,0.0007,16,2.2234481508348832e-06,1.8071903148666024e-06,3.846007748506963e-07,6.465498916804791e-06,16,6.723605957430452e-05,5.865541443899862e-05,2.0511584155673697e-05,0.00016437108337462384,16,0.002604451891303999,0.0023409299187621634,0.0009783129138747238,0.005822930263378185,16,0.0012260603167095275,0.0010951751615034151,0.00033393709965922355,0.0026496164320598745
Battery,50,batch,amp_true,full,0.001,16,3.1763545011926905e-06,2.581700449809432e-06,5.494296783581377e-07,9.236427024006844e-06,16,9.605151367757787e-05,8.379344919856946e-05,2.9302263079533854e-05,0.00023481583339231976,16,0.003720645559005713,0.0033441855982316625,0.0013975898769638911,0.00831847180482598,16,0.0017515147381564678,0.001564535945004879,0.00047705299951317654,0.003785166331514106
Battery,50,batch,amp_true,full,0.003,16,9.529063503578074e-06,7.745101349428297e-06,1.6482890350744128e-06,2.7709281072020532e-05,16,0.0002881545410327336,0.00025138034759570834,8.790678923860156e-05,0.0007044475001769593,16,0.011161936677017138,0.010032556794694987,0.004192769630891673,0.024955415414477936,16,0.005254544214469404,0.004693607835014637,0.0014311589985395296,0.011355498994542319
Battery,50,batch,amp_true,shared,0.0001,16,3.176354501192691e-07,2.5817004498094323e-07,5.494296783581376e-08,9.236427024006844e-07,16,8.633148109214607e-06,7.82399477947434e-06,2.9046239008169806e-06,1.9297174815509696e-05,16,0.0003808142508294151,0.0003528181197690344,0.0001479062517819016,0.0007686033236255398,16,0.00017715554296503369,0.0001703234194898908,4.8783501129262446e-05,0.0003424434926189003
Battery,50,batch,amp_true,shared,0.0003,16,9.52906350357807e-07,7.745101349428295e-07,1.6482890350744126e-07,2.770928107202053e-06,16,2.5899444327643815e-05,2.3471984338423016e-05,8.71387170245094e-06,5.7891524446529083e-05,16,0.001142442752488245,0.001058454359307103,0.00044371875534570467,0.002305809970876619,16,0.0005314666288951009,0.0005109702584696723,0.00014635050338778733,0.0010273304778567007
